0,1,2,3,4,5,6,7,8,9
Western Europe,Carrageenans,Pet Care,Tonnes,9.506,9.630,9.701,9.610,9.501,9.416
Western Europe,Carrageenans (Semi-Refined),Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Carrageenans (Semi-Refined),Pet Care,Tonnes,5.631,5.668,5.587,5.499,5.473,5.405
Western Europe,Cellulose Ethers,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Cellulose Ethers,Pet Care,Tonnes,358,390,416,440,463,482
Western Europe,Galactooligosaccharides,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Galactooligosaccharides,Pet Care,Tonnes,13.761,14.012,14.104,14.073,14.152,14.237
Western Europe,Guar Gum,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Guar Gum,Pet Care,Tonnes,5.546,5.667,5.723,5.736,5.757,5.818
Western Europe,Gum Arabic,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Gum Arabic,Pet Care,Tonnes,2.739,2.816,2.865,2.884,2.897,2.911
Western Europe,Inulin,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Inulin,Pet Care,Tonnes,26.214,26.702,26.881,26.827,26.979,27.144
Western Europe,Konjac,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Konjac,Pet Care,Tonnes,134,140,144,144,147,148
Western Europe,Locust Bean Gum,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Locust Bean Gum,Pet Care,Tonnes,9.258,9.460,9.568,9.581,9.642,9.733
Western Europe,Maltodextrin,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Maltodextrin,Pet Care,Tonnes,14.481,14.767,14.887,14.876,15.001,15.180
Western Europe,Microcrystalline Cellulose,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Microcrystalline Cellulose,Pet Care,Tonnes,10.008,10.206,10.283,10.256,10.305,10.384
Western Europe,Modified Starch,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Modified Starch,Pet Care,Tonnes,13.323,13.613,13.783,13.767,13.816,13.940
Western Europe,Oligofructose,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Oligofructose,Pet Care,Tonnes,7.329,7.465,7.504,7.493,7.563,7.619
Western Europe,Pectins,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Pectins,Pet Care,Tonnes,11.861,12.068,12.132,12.067,12.024,11.973
Western Europe,Polydextrose,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Polydextrose,Pet Care,Tonnes,313,346,371,397,440,502
Western Europe,Starch,Pet Care,% Breakdown,07,07,07,07,07,07
Western Europe,Starch,Pet Care,Tonnes,437.628,445.961,450.071,448.915,449.447,451.308
Western Europe,Xanthan Gum,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Xanthan Gum,Pet Care,Tonnes,3.635,3.745,3.817,3.847,3.866,3.896
Western Europe,Other Polysaccharides and Oligosaccharides,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Polysaccharides and Oligosaccharides,Pet Care,Tonnes,23.715,24.185,24.436,24.409,24.507,24.684
Western Europe,Phytoestrogens,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Phytoestrogens,Pet Care,Tonnes,478,488,498,498,501,505
Western Europe,Isoflavones,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Isoflavones,Pet Care,Tonnes,474,485,495,495,498,502
Western Europe,Resveratrol,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Resveratrol,Pet Care,Tonnes,03,03,03,03,03,03
Western Europe,Preservatives/Antioxidants,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Preservatives/Antioxidants,Pet Care,Tonnes,81.769,83.471,84.215,84.079,84.560,85.291
Western Europe,Ascorbic Acid and Derivatives (Preservatives/Antioxidants),Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Ascorbic Acid and Derivatives (Preservatives/Antioxidants),Pet Care,Tonnes,7.486,7.636,7.719,7.723,7.702,7.720
Western Europe,Benzoic Acid/Benzoate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Benzoic Acid/Benzoate,Pet Care,Tonnes,3.668,3.784,3.848,3.859,3.924,4.023
Western Europe,Butylated Hydroxylanisole (BHA),Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Butylated Hydroxylanisole (BHA),Pet Care,Tonnes,2.627,2.671,2.701,2.691,2.717,2.755
Western Europe,Calcium Propionate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Calcium Propionate,Pet Care,Tonnes,1.239,1.273,1.290,1.299,1.315,1.334
Western Europe,Nitrates/Nitrites,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Nitrates/Nitrites,Pet Care,Tonnes,1.147,1.168,1.175,1.165,1.174,1.185
Western Europe,Potassium Sorbate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Potassium Sorbate,Pet Care,Tonnes,6.373,6.508,6.568,6.547,6.589,6.636
Western Europe,Propyl Gallate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Propyl Gallate,Pet Care,Tonnes,1.712,1.757,1.791,1.799,1.804,1.806
Western Europe,Rosemary Extract,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Rosemary Extract,Pet Care,Tonnes,2.888,2.957,2.994,3.006,3.011,3.043
Western Europe,Sorbic Acid/Sorbate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Sorbic Acid/Sorbate,Pet Care,Tonnes,01,01,01,01,01,01
Western Europe,Sulphites/Metabisulphites,Pet Care,% Breakdown,00,00,00,00,00,00
